Topic,Count,Name,Representation,Representative_Docs
-1,243,-1_chars_2023_new_nov,"['chars', '2023', 'new', 'nov', 'newswire', 'globe', 'report', 'us', 'market', 'company']","['Artificial Intelligence Defense Market Growth Hit 11.7% CAGR, Globally, 2028 - Exclusive Report Insight Partners Pune, India, Nov. 08, 2023 (GLOBE NEWSWIRE) -- According new report Artificial Intelligence Defense Market Size Forecast (20232028), Global Regional Share, Trends, Growth Opp… [+7504 chars]', 'Middle East Africa Data Center Colocation Market Outlook Report 2023: $3.37 Billion Market 2028 - Shift On-Premises Infrastructure Colocation & Managed Services Bolsters Growth Dublin, Nov. 08, 2023 (GLOBE NEWSWIRE) -- ""Middle East Africa Data Center Colocation Market - Industry Outlook &amp; Forecast 2023-2028"" report added ResearchAndMarkets.com\'s offe… [+11850 chars]', 'Fintech Holding Limited Report Third Quarter 2023 Financial Results November 27, 2023 SINGAPORE, Nov. 14, 2023 (GLOBE NEWSWIRE) -- Fintech Holding Limited (UP Fintech Company) (NASDAQ: TIGR), leading online brokerage firm focusing global investors, today announced … [+2373 chars]']"
0,178,0_inc_quarter_shares_according,"['inc', 'quarter', 'shares', 'according', 'recent', 'position', 'llc', 'free', 'holdings', 'report']","['Principal Financial Group Inc. Lowers Stock Holdings ExlService Holdings, Inc. (NASDAQ:EXLS) Principal Financial Group Inc. decreased position shares ExlService Holdings, Inc. (NASDAQ:EXLS – Free Report) 1.9% second quarter, according recent disclosure wit… [+5246 chars]', 'New York Life Investment Management LLC Purchases Shares 33,458 Amedisys, Inc. (NASDAQ:AMED) New York Life Investment Management LLC acquired new position Amedisys, Inc. (NASDAQ:AMED – Free Report) second quarter, according company recent Form 13F filing wi… [+4839 chars]', 'LPL Financial Holdings Inc. (NASDAQ:LPLA) Shares Sold Moran Wealth Management LLC Moran Wealth Management LLC decreased holdings shares LPL Financial Holdings Inc. (NASDAQ:LPLA – Free Report) 3.6% second quarter, according recent filing the… [+6967 chars]']"
1,69,1_gaza_israel_israeli_hamas,"['gaza', 'israel', 'israeli', 'hamas', 'said', 'hospital', 'chars', 'us', 'iran', 'ceasefire']","['israel-hamas war: list key events, day 23 situation Monday, October 30, 2023: Latest developments <ul><li>Israeli forces said offensive second stage clashed Hamas fighters northern Gaza while… [+4270 chars]', ""israel's military tools take hamas' new drone arsenal, actually using may easy drone used Hamas hovers rally Gaza City March 2014.SAID KHATIB/AFP via Getty Images <ul> <li>Israel poised launch ground operation Gaza Strip following attack … [+6340 chars]"", 'Israel-Hamas: UN, US condemn school attack, deaths hit 14,000 Gazas Hamas government said Sunday death toll fighting Israeli troops Hamas militants Palestinian territory reached 13,000 since war began October 7. Hama… [+3279 chars]']"
2,65,2_ukraine_president_russian_russia,"['ukraine', 'president', 'russian', 'russia', 'defense', 'chars', 'security', 'us', 'military', 'ukrainian']","[""russian president putin arrives kyrgyzstan rare trip abroad Russia's top security official visits Azerbaijan, meets presidentRussia's top security official close ally Russian President Vladimir Putin, Nikolai Patrushev met Azerbaijani President Ilham… [+164 chars]"", 'putin says ukraine would last ‘a week’ western military support stops Russian President Vladimir Putin said Ukraine could survive week without Western military financial aid, claim made day European Union official warned … [+3866 chars]', ""ukraine's zelenskyy nato defense ministers meeting seeking support fight russia BRUSSELS -- Ukraine President Volodymyr Zelenskyy arrived NATO Wednesday's meetings alliance defense ministers drum support Ukraines fight Russia. impo… [+2245 chars]""]"
3,36,3_climate_cop28_gas_antarctic,"['climate', 'cop28', 'gas', 'antarctic', 'chars', 'methane', 'emissions', 'storm', 'change', 'study']","['climate \'loss damage\' talks end failure crucial meeting climate ""loss damages"" ahead COP28 ended failure Saturday, countries global north south unable reach agreement, according sources involved in… [+2419 chars]', 'australia rejoin global climate fund abandoned 2018 Australia announced rejoin United Nations climate fund set help poorer countries deal challenges heating planet ahead key donor conference. Green Climate… [+2721 chars]', 'COP28 must repeat mistakes Africa Climate Summit late November, 2023 United Nations Climate Change Conference (COP28) launched Dubai. Coming end year broke multiple heat records, event supposed set … [+4887 chars]']"
4,36,4_movies_movie_film_chars,"['movies', 'movie', 'film', 'chars', 'doctor', 'one', 'news', 'show', 'play', 'game']","['johnny depp animated movie ‘johnny puff: secret mission’ seals deals ahead 2024 release; images, trailer revealed EXCLUSIVE: Johnny Depp animated movie Johnny Puff: Secret Mission sold German-speaking Europe (Little Brother), Korea (AK Entertainment), Spain (Melies), Portugal (NOS Audiovisuais), Middle Ea… [+1445 chars]', ""David Tennant celebrates 400th anniversary Shakespeare's First Folio Media caption, David Tennant performs Macbeth soliloquy David Tennant bounds room, friendly, super articulate energetic. actor Doctor favourite, regularly voted best Do… [+9588 chars]"", 'Daisy Ridley Teases Unexpected Star Wars Movie David Tennant teases wild climax Doctor anniversary specials. Get new look Colin Farrells return Penguin. Muppets Mayhem more, Black Mirror returns more. P… [+3213 chars]']"
5,33,5_cup_world_cricket_india,"['cup', 'world', 'cricket', 'india', 'team', 'match', '2023', 'list', 'pakistan', 'africa']","[""IND vs SA ICC ODI World Cup: India opt bat South Africa India's captain Rohit Sharma toss chose bat high-stakes World Cup match South Africa. Indian team, sole undefeated squad competition, remains una… [+507 chars]"", 'pakistan vs south africa: icc cricket world cup 2023 match preview Who: Pakistan vs South Africa When: Friday, October 27, 2pm (08:30 GMT) list 3 itemslist 1 3 list 2 3 list 3 3 end list Where: Chidambaram Stadium, Chennai, India Underperfor… [+3303 chars]', 'India vs Australia: billion heartbreaks India lose ICC 2023 World Cup final Millions Indians nursing broken hearts national cricket team lost Australia World Cup final Sunday. Australia, lifted World Cup six times, six w… [+2810 chars]']"
6,32,6_market_billion_cagr_usd,"['market', 'billion', 'cagr', 'usd', 'newswire', 'globe', 'size', '2023', 'nov', 'global']","['Global Adhesive Tapes Market Size Worth USD 95.6 Billion 2032 | CAGR 6.5% New York, United States, Nov. 07, 2023 (GLOBE NEWSWIRE) -- Global Adhesive Tapes Market Size Grow USD 59.4 Billion 2022 USD 95.6 Billion 2032, Compound Annual Growth Rate (C… [+13766 chars]', 'Geosynthetics Market Worth USD 40.7 billion 2031: Exclusive Report Transparency Market Research Wilmington, Delaware, United States, Nov. 16, 2023 (GLOBE NEWSWIRE) -- Transparency Market Research Inc. - market geosynthetics worth US$ 16.1 billion 2020. CAGR 8.8% predicted… [+8850 chars]', 'Helium Market Size Worth USD 3.9 billion 2031, Notable CAGR 4.1%| Transparency Market Research, Inc. Wilmington, Delaware, United States, Nov. 23, 2023 (GLOBE NEWSWIRE) -- Transparency Market Research Inc. - global helium market projected flourish CAGR 4.1% 2023 2031. pe… [+7292 chars]']"
7,30,7_deposit_interest_amount_inflation,"['deposit', 'interest', 'amount', 'inflation', 'per', 'imports', 'calculate', 'calculator', 'fd', 'investing']","['adani green talks banks $1.8 billion loan FD Calculator investing fixed deposit, amount deposit earns interest per prevailing... Calculate', ""Russian oil shaves India's import costs $2.7 billion FD Calculator investing fixed deposit, amount deposit earns interest per prevailing... Calculate"", 'HSBC track meet China wealth hiring target despite economic headwinds FD Calculator investing fixed deposit, amount deposit earns interest per prevailing... Calculate']"
8,30,8_sam_congress_mp_bjp,"['sam', 'congress', 'mp', 'bjp', 'vicky', 'assembly', 'manekshaw', 'bahadur', 'hindu', 'kaushal']","['Vicky Kaushal rallies troops battle Sam Bahadur’s first song Badhte Chalo. Watch Following electrifying trailer, creators Sam Bahadur unveiled film’s first song, “Badhte Chalo”. Featuring Vicky Kaushalin role Field Marshal Sam Manekshaw, song st… [+1417 chars]', ""'It Danish Ali ... ': BJP MP Nishikant Dubey claims 'friends' Mahua Moitra 'cheerharan' Sam Manekshaw, Indian Army Officer Vicky Kaushal playing Sam Bahadur?"", 'Rajasthan assembly elections: Blow Congress former minister, MLA join saffron party; BJP targets Ashok Gehlot Dausa rape incident Sam Manekshaw, Indian Army Officer Vicky Kaushal playing Sam Bahadur?']"
9,28,9_traded_low_trading_high,"['traded', 'low', 'trading', 'high', 'last', 'stock', '52week', 'get', 'price', 'new']","['Fairfax Financial (OTCMKTS:FRFHF) Reaches New 1-Year High $871.13 Fairfax Financial Holdings Limited (OTCMKTS:FRFHF – Get Free Report)’s stock price hit new 52-week high trading Thursday . company traded high $871.13 last traded $841.00… [+2229 chars]', 'power metal resources (lon:pow) trading 3.6% higher Power Metal Resources plc (LON:POW – Get Free Report) traded 3.6% trading Friday . stock traded high GBX 0.75 ($0.01) last traded GBX 0.73 ($0.01). 1,987,007 shares trad… [+1626 chars]', 'Canada Rare Earth (CVE:LL) Reaches New 1-Year Low $0.03 Canada Rare Earth Corp. (CVE:LL – Get Free Report)’s stock price reached new 52-week low trading Wednesday . company traded low C$0.03 last traded C$0.03, volume o… [+1193 chars]']"
10,28,10_deals_pixel_best_google,"['deals', 'pixel', 'best', 'google', 'cyber', 'dell', 'black', 'samsung', 'gaming', 'alienware']","['21 Best Cyber Monday Treadmill Deals Still Live Even though Cyber Monday over, still shop save big best Cyber Week treadmill deals. home treadmill help make easier stick post-holiday exercise routineyou … [+9873 chars]', 'best google pixel 8 pixel 8 pro deals october 2023 official — Google Pixel 8 Pixel 8 Pro deals landed. latest flagship lineup Google finally hit store shelves October 12th, already quite ways … [+2543 chars]', 'Best Cyber Monday TV Deals Still Take Advantage Cyber Monday may over, plenty best Cyber Monday TV deals still available snag. week, shoppers save hundreds screens sizes, great deals available top-… [+5701 chars]']"
11,25,11_rating_stocknewscom_coverage_hold,"['rating', 'stocknewscom', 'coverage', 'hold', 'issued', 'buy', 'report', 'research', 'group', 'free']","['Beauty Health (NASDAQ:SKIN) Given “Hold” Rating Canaccord Genuity Group Canaccord Genuity Group reiterated hold rating shares Beauty Health (NASDAQ:SKIN – Free Report) research report report published Tuesday morning, Benzinga reports. Canaccord Genui… [+5567 chars]', 'Autoliv, Inc. (NYSE:ALV) Given Consensus Rating “Hold” Brokerages Shares Autoliv, Inc. (NYSE:ALV – Get Free Report) assigned consensus rating “Hold” twelve ratings firms covering firm, MarketBeat.com reports. One analyst … [+5054 chars]', 'Salem Media Group (NASDAQ:SALM) Coverage Initiated Analysts StockNews.com StockNews.com assumed coverage shares Salem Media Group (NASDAQ:SALM – Free Report) research note published Tuesday. firm issued hold rating stock. Salem Media Group Tradi… [+3112 chars]']"
12,23,12_police_man_killed_arrested,"['police', 'man', 'killed', 'arrested', 'charges', 'mother', 'hearing', 'officer', 'guilty', 'marine']","['Arizona man arrested, charged allegedly threatening kill rabbi Arizona man arrested hit federal charges weekend allegedly threatening execute Scottsdale rabbi ""every JEW"" could find, Justice Department announced… [+1523 chars]', 'british man, 74, arrested italian murder investigation British man arrested suspicion murdering 66-year-old woman Italy. Leicestershire Police said 74-year-old man detained Shepshed Wednesday remained custody. … [+528 chars]', 'Jermaine Baker: Misconduct hearing firearms officer firearms officer killed unarmed man eight years ago face misconduct hearing ""at earliest opportunity"", Met Police said. W80 shot Jermaine Baker, Tottenham, … [+1791 chars]']"
13,22,13_ai_intelligence_artificial_getty,"['ai', 'intelligence', 'artificial', 'getty', 'generative', 'hr', 'business', 'marketing', 'help', 'chars']","[""Racing Time: Scientists May Use AI ‘Research Assembly Lines’ Future Research? getty Artificial Intelligence (AI) rapidly outpacing scientific research due latter's inherent limitations. Addressing issue crucial seize signi… [+11165 chars]"", 'skills required explore career AI? Artificial Intelligence (AI) around us, often working behind scenes, making lives convenient efficient. AI revolutionary force reshaping world ways p… [+3586 chars]', ""Artificial Intelligence HR Market Analysis 2023-2027: Automation HR Operations Major Driver Per Business Research Company's Artificial Intelligence HR Global Market Report 2023 LONDON, Nov. 21, 2023 (GLOBE NEWSWIRE) -- Business Research Companys Artificial Intelligence HR Global Market Report 2023, global artificial intelligence HR market poised signifi… [+4435 chars]""]"
14,21,14_earnings_guidance_eps_estimates,"['earnings', 'guidance', 'eps', 'estimates', 'results', 'provided', 'share', 'compared', 'analysts', 'period']","['Jacobs Solutions (NYSE:J) Issues FY24 Earnings Guidance Jacobs Solutions (NYSE:J – Get Free Report) updated FY24 earnings guidance Tuesday. company provided EPS guidance $7.70-8.20 period, compared consensus EPS estimate $8… [+5928 chars]', 'B&G Foods (NYSE:BGS) Issues Q4 Earnings Guidance B&amp;G Foods (NYSE:BGS – Get Free Report) updated fourth quarter earnings guidance Wednesday. company provided EPS guidance $0.24-0.44 period, compared consensus EPS est… [+4798 chars]', 'Patterson Companies (NASDAQ:PDCO) Updates FY24 Earnings Guidance Patterson Companies (NASDAQ:PDCO – Get Free Report) updated FY24 earnings guidance Wednesday. company provided earnings per share (EPS) guidance $2.35-2.45 period, compared t… [+5168 chars]']"
15,18,15_price_target_benzinga_report,"['price', 'target', 'benzinga', 'report', 'reports', 'morning', 'research', 'royal', 'analysts', 'free']","['Royal Bank Canada Boosts Lancashire (LON:LRE) Price Target GBX 825 Lancashire (LON:LRE – Free Report) price objective upped Royal Bank Canada GBX 800 ($9.82) GBX 825 ($10.13) research note issued investors Thursday morning, MarketBea… [+2745 chars]', 'a.k.a. Brands (NYSE:AKA) Price Target Cut $8.00 a.k.a. Brands (NYSE:AKA – Free Report) price objective reduced Wells Fargo &amp; Company $9.00 $8.00 research note published Thursday morning, Benzinga reports. curren… [+3508 chars]', 'Block (NYSE:SQ) Price Target Cut $77.00 Analysts Royal Bank Canada Block (NYSE:SQ – Free Report) target price trimmed Royal Bank Canada $90.00 $77.00 research report released Friday morning, Benzinga reports. brokerage currently has… [+6001 chars]']"
16,17,16_cent_nifty_stocks_per,"['cent', 'nifty', 'stocks', 'per', 'rs', 'delhi', 'closed', 'ltdup', 'session', 'points']","['Stock market update: Nifty Realty index advances 0.23% NEW DELHI: Nifty Realty index closed positive note Friday. Shares DLF Ltd.(up 0.89 per cent), Brigade Enterprises Ltd.(up 0.78 per cent), Macrotech Developers Ltd.(up 0.55 per cent), P… [+1035 chars]', ""Colgate-Palmolive shares rise 0.31 per cent Wednesday's trading session Shares Colgate-Palmolive (India) Ltd. rose 0.31 per cent Rs 2133.2 Wednesday's trade 01:45PM (IST) even benchmark Nifty ruled 19661.4, 217.85 points. scrip closed … [+1183 chars]"", 'Stock market update: Nifty Realty index falls 0.69% NEW DELHI: Nifty Realty index closed negative note Wednesday. Shares Macrotech Developers Ltd.(up 0.27 per cent), Mahindra Lifespace Developers Ltd.(up 0.21 per cent) Prestige Esta… [+1011 chars]']"
17,17,17_dividend_november_record_quarterly,"['dividend', 'november', 'record', 'quarterly', 'reports', 'declared', 'get', 'monthly', 'given', 'shareholders']","['Primo Water Co. Announces Quarterly Dividend $0.08 (NYSE:PRMW) Primo Water Co. (NYSE:PRMW – Get Free Report) announced quarterly dividend Friday, November 3rd, Wall Street Journal reports. Shareholders record Tuesday, November 21st given div… [+4832 chars]', 'Grosvenor Capital Management, L.P. Plans Quarterly Dividend $0.11 (NASDAQ:GCMG) Grosvenor Capital Management, L.P. (NASDAQ:GCMG – Get Free Report) declared quarterly dividend Tuesday, November 7th, Wall Street Journal reports. Stockholders record Friday, December 1st … [+4997 chars]', 'Grupo Nutresa S. A. Issue Dividend $0.01 (OTCMKTS:GCHOY) Grupo Nutresa S. A. (OTCMKTS:GCHOY – Get Free Report) declared dividend Thursday, November 9th, NASDAQ reports. Stockholders record Thursday, December 7th paid dividend 0.0118… [+1347 chars]']"
18,14,18_short_interest_october_totalling,"['short', 'interest', 'october', 'totalling', '31st', 'significant', 'increase', 'month', 'large', 'recipient']","['Cryptoblox Technologies Inc. (OTCMKTS:CRYBF) Sees Large Drop Short Interest Cryptoblox Technologies Inc. (OTCMKTS:CRYBF – Get Free Report) recipient significant drop short interest month October. October 31st, short interest totallin… [+1212 chars]', 'Cineplex Inc. (OTCMKTS:CPXGF) Sees Significant Increase Short Interest Cineplex Inc. (OTCMKTS:CPXGF – Get Free Report) recipient large increase short interest month October. October 31st, short interest totalling 337,500 sha… [+1619 chars]', 'Tsuruha Holdings Inc. (OTCMKTS:TSUSF) Sees Large Increase Short Interest Tsuruha Holdings Inc. (OTCMKTS:TSUSF – Get Free Report) target significant growth short interest month October. October 31st, short interest totalling 22… [+946 chars]']"
19,12,19_sam_altman_openai_ceo,"['sam', 'altman', 'openai', 'ceo', 'shear', 'emmett', 'chatgpt', 'openais', 'jobs', 'tech']","[""Emmett Shear, OpenAI's new interim CEO, shares Sam Altman's worry AI could destroy life Emmett Shear tapped new CEO OpenAI, Information first reported.Horacio Villalobos - Corbis/Corbis via Getty Images <ul><li>Emmett Shear new interim CEO OpenAI aft… [+3666 chars]"", ""fast: Sam Altman reportedly still angling pull 'Steve Jobs' return OpenAI Ex-OpenAI leaders Sam Altman (pictured) Greg Brockman considering rejoining OpenAI board steps down, Verge reported. Getty/Kevin Dietsch <ul><li>Sam Altman Greg Brockman o… [+2565 chars]"", 'Sam Altman joining Microsoft lead new AI research team Sam Altman, ousted CEO OpenAI chaotic boardroom coup Friday, joining Microsoft, tech giant said Monday. Meanwhile, Emmett Shear, former CEO streaming serviceTwitch, w… [+1812 chars]']"
20,12,20_nigeria_obasanjo_nigerian_africa,"['nigeria', 'obasanjo', 'nigerian', 'africa', 'economic', 'president', 'garvey', 'cyberflashing', 'fatal', 'drugs']","['Western-style democracy suitable Africa — Obasanjo Former President Olusegun Obasanjo said Monday Western liberal democracy unsuitable Africa seems working Nigeria African countries. According former… [+3330 chars]', ""Nigerian Workers Strike Attack Union Leader, Unpopular Economic Reforms Timothy Obiezu November 15, 2023 Nigeria's labor unions begun indefinite strike protest beating Nigerian Labour Congress (NLC) president Joe Ajaero November 1. labor lead… [+3015 chars]"", 'obasanjo, garvey pick badagry slave trade museum Former President Olusegun Obasanjo leader Diasporan delegation motherland Africa, Dr Julius Garvey, agreed Badagry Lagos State location World’s Africa… [+3197 chars]']"
21,11,21_global_vaccine_personal_medtecs,"['global', 'vaccine', 'personal', 'medtecs', 'gloves', 'emergex', 'care', 'health', '2023', 'china']","['Novotech Opens ChinaTrials 15 Conference Workshop Biotechs Accelerate Global Trials SHANGHAI, China, Nov. 07, 2023 (GLOBE NEWSWIRE) -- Novotech, leading Asia Pacific centred biotech CRO global execution capabilities, opens ChinaTrials 15 conference Shanghai, China wi… [+5575 chars]', 'Emergex Signs Contract £1.79M UK Department Health Social Care’s UK Vaccine Network (“UKVN”) Advance Novel Synthetic Cell-Priming Set-Point Candidate Chikungunya Virus ABINGDON, United Kingdom, Nov. 17, 2023 (GLOBE NEWSWIRE) -- Emergex Vaccines Holding Limited (Emergex), clinical-stage biotechnology company addressing major global infectious diseases … [+7395 chars]', ""International Center Genetic Disease, Mass General Brigham launches global Clinical Genomic Medicine Genetic Counseling training program United Arab Emirates BOSTON, Nov. 21, 2023 (GLOBE NEWSWIRE) -- Genomic medicine, also known precision medicine, offers transformative opportunities reshape health care public health 'one size fits all' a… [+6902 chars]""]"
